ts_code,heavy_score,heavy_tier,heavy_veto,heavy_adjustment,heavy_keep_rank,heavy_reason,heavy_risk_flags
600188.SH,0.75,core,False,0.0,1.0,score最高，煤炭趋势强,"[""行业集中度偏高""]"
600886.SH,0.74,core,False,0.0,2.0,水电稳定，日内极强,[]
688256.SH,0.78,core,False,0.05,3.0,AI主题映射加分，科创龙头,"[""科创板波动""]"
600027.SH,0.72,core,False,0.0,4.0,火电防御，分位极高,"[""行业近饱和""]"
600011.SH,0.71,core,False,0.0,5.0,火电强势，尾盘稳固,"[""火电双票持仓风险""]"
600362.SH,0.71,watch,False,0.0,6.0,铜受益宏观，放量突破,[]
000630.SZ,0.7,watch,False,0.0,7.0,铜业补涨，流动性佳,"[""5日累跌历史""]"
000333.SZ,0.69,watch,False,0.0,8.0,家电龙头，稳健防御,[]
601901.SH,0.5,watch,False,0.0,100.0,default_watch_unmentioned,[]
600690.SH,0.5,watch,False,0.0,101.0,default_watch_unmentioned,[]
000792.SZ,0.68,watch,False,0.0,10.0,化肥弹性，放量上攻,[]
601939.SH,0.68,watch,False,0.0,11.0,银行压舱，轻微舆情,[]
300124.SZ,0.67,watch,False,0.0,12.0,电器仪表趋势延续,"[""创业板波动""]"
601816.SH,0.67,watch,False,0.0,13.0,高铁客运旺季预期,[]
000166.SZ,0.67,watch,False,0.0,14.0,证券中最佳分位,"[""券商β风险""]"
600887.SH,0.5,watch,False,0.0,102.0,default_watch_unmentioned,[]
300122.SZ,0.5,watch,False,0.0,103.0,default_watch_unmentioned,[]
600018.SH,0.5,watch,False,0.0,104.0,default_watch_unmentioned,[]
603799.SH,0.7,watch,False,0.03,15.0,小金属+锂电主题,"[""隔夜历史偏弱""]"
603833.SH,0.5,watch,False,0.0,105.0,default_watch_unmentioned,[]
000069.SZ,0.0,reject,True,0.0,999.0,price_below_min_or_missing,"[""低于最低价格要求""]"
605117.SH,0.69,watch,False,0.03,9.0,储能主题，日内涨幅大,"[""高位追涨风险""]"
000786.SZ,0.5,watch,False,0.0,106.0,default_watch_unmentioned,[]
601838.SH,0.5,watch,False,0.0,107.0,default_watch_unmentioned,[]
601898.SH,0.5,watch,False,0.0,108.0,default_watch_unmentioned,[]
000408.SZ,0.5,watch,False,0.0,109.0,default_watch_unmentioned,[]
601318.SH,0.5,watch,False,0.0,110.0,default_watch_unmentioned,[]
300274.SZ,0.5,watch,False,0.0,111.0,default_watch_unmentioned,[]
601336.SH,0.5,watch,False,0.0,112.0,default_watch_unmentioned,[]
600919.SH,0.5,watch,False,0.0,113.0,default_watch_unmentioned,[]
000301.SZ,0.5,watch,False,0.0,114.0,default_watch_unmentioned,[]
601059.SH,0.5,watch,False,0.0,115.0,default_watch_unmentioned,[]
601881.SH,0.5,watch,False,0.0,116.0,default_watch_unmentioned,[]
601607.SH,0.5,watch,False,0.0,117.0,default_watch_unmentioned,[]
603993.SH,0.5,watch,False,0.0,118.0,default_watch_unmentioned,[]
603195.SH,0.5,watch,False,0.0,119.0,default_watch_unmentioned,[]
300059.SZ,0.5,watch,False,0.0,120.0,default_watch_unmentioned,[]
002460.SZ,0.5,watch,False,0.0,121.0,default_watch_unmentioned,[]
600015.SH,0.5,watch,False,0.0,122.0,default_watch_unmentioned,[]
600795.SH,0.5,watch,False,0.0,123.0,default_watch_unmentioned,[]
601995.SH,0.5,watch,False,0.0,124.0,default_watch_unmentioned,[]
000157.SZ,0.5,watch,False,0.0,125.0,default_watch_unmentioned,[]
601100.SH,0.5,watch,False,0.0,126.0,default_watch_unmentioned,[]
601377.SH,0.5,watch,False,0.0,127.0,default_watch_unmentioned,[]
601877.SH,0.5,watch,False,0.0,128.0,default_watch_unmentioned,[]
000983.SZ,0.5,watch,False,0.0,129.0,default_watch_unmentioned,[]
001979.SZ,0.5,watch,False,0.0,130.0,default_watch_unmentioned,[]
600111.SH,0.5,watch,False,0.0,131.0,default_watch_unmentioned,[]
601390.SH,0.5,watch,False,0.0,132.0,default_watch_unmentioned,[]
600019.SH,0.5,watch,False,0.0,133.0,default_watch_unmentioned,[]
